pk,desa,direccion,ubicacion,localidad,cod_postal,isla,x,y,vigencia_inicio,vigencia_fin
409,DESA00554,PLAZA CRISTO DE LA SALUD 1,AYUNTAMIENTO: Entrada fondo a la derecha,Arona,38640,TENERIFE,334890,3.10943e+006,20170908000000,
410,DESA00555,CALLE MEDIO (DEL) S/N,LOCAL MULTAS INFRACCIONES Y MEDIO AMBIENTE: Entrada en frente vestíbulo,Arona,38640,TENERIFE,334833,3.10934e+006,20170908000000,
411,DESA00556,CALLE DIVINA PASTORA 58 CTRA GENERAL TF-28,C.C. LA CAMELLA: Entrada a la izquierda,Arona,38640,TENERIFE,334695,3.10706e+006,20170908000000,
412,DESA00557,CALLE LLANO MORA 10,C.C. VALLE SAN LORENZO: Entrada a la izquierda,Arona,38626,TENERIFE,337127,3.10834e+006,20170908000000,
413,DESA00558,CALLE VISTA MARTIN 28,C.C. CABO BLANCO: Junto al mostrador de recepción,Arona,38626,TENERIFE,335819,3.10649e+006,20170908000000,
414,DESA00559,CALLE PETALO 1,C.C. PARQUE LA REINA: Entrada a la izquierda,Arona,38627,TENERIFE,336544,3.10376e+006,20170908000000,
415,DESA00560,CALLE SAN SEBASTIAN DE LA GOMERA S/N,C.C. EL FRAILE: Bloque sur  junto a mostrador recepción,Arona,38632,TENERIFE,335734,3.09972e+006,20170908000000,
416,DESA00561,RBLA DIONISIO GONZALEZ 20,CENTRO EMPRESARIAL LAS GALLETAS: Mostrador a la derecha entrada,Arona,38631,TENERIFE,337026,3.09916e+006,20170908000000,
417,DESA00562,URB VIRGEN DEL CARMEN S/N BLOQUE 4,LOCAL SOCIO CULTURAL VIRGEN DEL CARMEN GUARGACHO: Sala izquierda local,Arona,38639,TENERIFE,338817,3.10068e+006,20170908000000,
418,DESA00563,CALLE PLAZA  DEL PESCADOR  1,C.C. LOS CRISTIANOS: Entrada a la derecha,Arona,38650,TENERIFE,331530,3.10426e+006,20170908000000,
419,DESA00564,AVDA JUAN CARLOS I 20,AUDITORIO INFANTA LEONOR LOS CRISTIANOS: Entrada vestíbulo,Arona,38650,TENERIFE,331615,3.10424e+006,20170908000000,
420,DESA00565,CALLE PUERTO ESCONDIDO S/N,C.C. PARQUE BULEVAR: Planta nivel 1,Santa Cruz de Tenerife,38002,TENERIFE,377470,3.14998e+006,20170908000000,
421,DESA00566,AVDA GRANDES PLAYAS 12,GRAN HOTEL ATLANTIS BAHIA REAL: Recepción,Oliva La,35660,FUERTEVENTURA,611752,3.17841e+006,20170908000000,
422,DESA00567,RONDA J.N. GALVAN BELLO  16 POLG INDUSTRIAL COSTA SUR,SHEREIBER  DE CANARIAS: Pasillo entrada fabrica,Santa Cruz de Tenerife,38009,TENERIFE,375151,3.14747e+006,20170908000000,
423,DESA00568,BCO LECHUGAL S/N,ANFI EMERAL CLUB: Solárium,Mogan,35120,GRAN CANARIA,429483,3.07566e+006,20170908000000,
424,DESA00569,BCO LECHUGAL S/N,ANFI TAURO GOLF: Recepción,Mogan,35120,GRAN CANARIA,429822,3.07516e+006,20170908000000,
425,DESA00570,BCO DE LA VERGA  S/N,ANFI BEACH CLUB: Recepción,Mogan,35120,GRAN CANARIA,431577,3.07247e+006,20170908000000,
426,DESA00571,BCO DE LA VERGA  S/N,ANFI BEACH CLUB: Solárium,Mogan,35120,GRAN CANARIA,431605,3.07247e+006,20170908000000,
427,DESA00572,BCO DE LA VERGA  S/N,CLUB PUERTO ANFI: Solárium,Mogan,35120,GRAN CANARIA,431212,3.07217e+006,20170908000000,
428,DESA00573,BCO DE LA VERGA  S/N,CLUB MONTE ANFI: Recepción,Mogan,35120,GRAN CANARIA,431234,3.07226e+006,20170908000000,
429,DESA00574,BCO DE LA VERGA  S/N,CLUB MONTE ANFI: Solárium,Mogan,35120,GRAN CANARIA,431210,3.07223e+006,20170908000000,
430,DESA00575,BCO DE LA VERGA  S/N,CLUB GRAN ANFI: Recepción,Mogan,35120,GRAN CANARIA,431047,3.07217e+006,20170908000000,
431,DESA00576,BCO DE LA VERGA  S/N,CLUB GRAN ANFI: Solárium,Mogan,35120,GRAN CANARIA,431052,3.07212e+006,20170908000000,
432,DESA00577,CALLE ROBAYNA 2,MUTUA DE ACCIDENTES: Hall,Santa Cruz de Tenerife,38003,TENERIFE,377226,3.14965e+006,20170908000000,
433,DESA00578,CALLE CURATO  S/N,RESIDENCIA MAYORES: Enfermería,Hermigua,38820,LA GOMERA,284161,3.1175e+006,20170908000000,
434,DESA00579,AVDA GUILLERMO ASCANIO MORENO S/N,CENTRO DISCAPACITADOS: Entrada principal,Vallehermoso,38840,LA GOMERA,277675,3.11927e+006,20170908000000,
435,DESA00581,CALLE J.P. WATT S/N NAVE 5 - POLIG INDUSTRIAL LA CAMPANA,GIMNACIO ZONA O CROSSFIT: Entrada,Rosario (El),38109,TENERIFE,370962,3.14347e+006,20170908000000,
436,DESA00582,BCO LA CONCEPCION S/N,INFRAESTRUCTURAS DE ALMACENAMIENTO DISA: Recepción,San Sebastian de la Gomera,38800,LA GOMERA,291910,3.10879e+006,20170908000000,
437,DESA00583,CALLE TOMAS CRUZ S/N,CENTRO CULTURAL LLANO CAMELLO: Entrada frontal,San Miguel,38639,TENERIFE,340912,3.10455e+006,20170908000000,
438,DESA00584,BCO LA MESA Y BCO RODRIGO S/N,PARQUE CHO PANCHO: Casa del guarda,San Miguel,38629,TENERIFE,339321,3.10455e+006,20170908000000,
439,DESA00585,CALLE INOCENCIA TORRES AFONSO S/N,CAMPO FUTBOL JUANITO MARRERO: Cantina,San Miguel,38628,TENERIFE,341417,3.10676e+006,20170908000000,
440,DESA00586,CALLE EL MONTE S/N,CAMPO DE FUTBOL DE GUARGACHO: Cantina,San Miguel,38639,TENERIFE,339728,3.10229e+006,20170908000000,
441,DESA00587,CALLE ANTONIO ALONSO  S/N,PABELLÓN MUNICIPAL: Puerta entrada público,San Miguel,38620,TENERIFE,341220,3.10891e+006,20170908000000,
442,DESA00588,CTRA ABRIGOS (A LOS) 32,POLICÍA LOCAL: Recepción entrada edificio,San Miguel,38620,TENERIFE,341313,3.10898e+006,20170908000000,
443,DESA00589,CTRA GENERAL DEL SUR  2,CAMPO DE FUTBOL PACO TEJERA: Recepción,San Miguel,38639,TENERIFE,340162,3.10923e+006,20170908000000,
444,DESA00590,URB GOLF DEL SUR S/N,PARQUE ALBATROS: Recepción,San Miguel,38639,TENERIFE,341700,3.10117e+006,20170908000000,
445,DESA00591,CALLE LOMO SALAS S/N,FALCK SCI CANARIAS: Entrada,Telde,35215,GRAN CANARIA,456663,3.0944e+006,20170908000000,
446,DESA00592,CALLE EL PESCUECITO 1,RESIDENCIAL EL LLANO: La piscina puesto socorrista,Valle Gran Rey,38870,LA GOMERA,270575,3.10886e+006,20170908000000,
447,DESA00593,TRANSVERSAL LOS  CANCAJOS 2,HOTEL LAS OLAS: Recepción,Breña Baja,38712,LA PALMA,230287,3.17176e+006,20170908000000,
448,DESA00594,AVDA FERIA DE LA 3,C.E.E.E. 7 PALMAS: Pasillo enfrente enfermería,Palmas de Gran Canaria (Las),35012,GRAN CANARIA,455958,3.10899e+006,20170908000000,
449,DESA00595,CALLE CANCAJOS (LOS) S/N,HACIENDA SAN JORGE: Entrada,Breña Baja,38712,LA PALMA,230114,3.17249e+006,20170908000000,
