pk,desa,direccion,ubicacion,localidad,cod_postal,isla,x,y,vigencia_inicio,vigencia_fin
509,DESA00655,CMNO LAS GAVIAS  98,COLEGIO LUTHER KING: Por fuera de enfermería,Laguna (La),38206,TENERIFE,369906,3.15285e+006,20170908000000,
510,DESA00656,CALLE HERMANO PEDRO 11,COLEGIO LUTHER KING: Por fuera de enfermería,San Miguel,38628,TENERIFE,340236,3.10551e+006,20170908000000,
511,DESA00657,CMNO MOLINETA (LA) 50,COLEGIO LUTHER KING: Por fuera de secretaría,Arafo,38509,TENERIFE,364253,3.13452e+006,20170908000000,
512,DESA00658,CALLE LEOPOLDO DE LA ROSA OLIVERA S/N,PABELLÓN DEPORTIVO RIOS TEJERA: Entrando pasillo a la derecha,Laguna (La),38206,TENERIFE,369785,3.15252e+006,20170908000000,
513,DESA00659,CMNO FUENTE CAÑIZARES S/N,PABELLÓN DEPORTIVO E.M.FCO. PERAZA:  Recepción a la Izda.,Laguna (La),38208,TENERIFE,370861,3.15292e+006,20170908000000,
514,DESA00660,CAMPUS UNIVERSITARIO DE TAFIRA S/N,EDIFICIO INSTALACIONES DEPORTIVAS: Al lado mostrador de recepción,Palmas de Gran Canaria (Las),35017,GRAN CANARIA,455132,3.10517e+006,20170908000000,
515,DESA00661,CALLE TANAUSU 4,CENTRO PARA LA AUTONOMÍA PERSONAL: Parque de Pino Seco,Mogan,35120,GRAN CANARIA,432950,3.07108e+006,20170908000000,
516,DESA00663,CALLE GARA Y JONAY 1,RESIDENCIA ESCOLAR ESPECIFICA HERMANO PEDRO: Enfermería,Santa Cruz de Tenerife,38010,TENERIFE,374569,3.14779e+006,20170908000000,
517,DESA00664,CALLE ELIAS BACALLADO 2 A - OFRA,SEDE ADMINISTARTIVA OFRA: Pasillo entrada  pared derecha,Santa Cruz de Tenerife,38010,TENERIFE,374258,3.14875e+006,20170908000000,
518,DESA00665,AVDA LIBERTAD (LA) S/N,C.C. LA LIBERTAD: Escalera,Laguna (La),38108,TENERIFE,372204,3.14881e+006,20170908000000,
519,DESA00666,CALLE LEON Y CASTILLO 270,APARCAMIENTO AYUNTAMIENTO,Palmas de Gran Canaria (Las),35001,GRAN CANARIA,458013,3.11107e+006,20170908000000,
520,DESA00667,CTRA EL RINCON S/N,APARCAMIENTO INTERMODAL EL RINCÓN,Palmas de Gran Canaria (Las),35001,GRAN CANARIA,455586,3.11151e+006,20170908000000,
521,DESA00668,CTRA DE LAS NIEVES 158,ANTIGUO HPTAL. DE LAS NIEVES: Recepción Escuela de enfermería La Palma,Santa Cruz de la Palma,38660,LA PALMA,229350,3.17742e+006,20170908000000,
522,DESA00669,CTRA CIENCIAS DE LA SALUD S/N OFRA,FACULTAD DE ENFERMERÍA Y FISOTERAPIA: Recepción,Santa Cruz de Tenerife,38180,TENERIFE,373719,3.14841e+006,20170908000000,
523,DESA00670,CALLE DOCTOR JUAN NEGRIN 117,UNIDAD DE ATENCION AL DROGODEPENDIENTE: Recepción,Arrecife,35500,LANZAROTE,640372,3.20522e+006,20170908000000,
524,DESA00671,DISEMINADO EL VOLCAN DE TAHICHE S/N,UNIDAD SEMIRESIDENCIAL: Recepción.,Teguise,35507,LANZAROTE,640201,3.2088e+006,20170908000000,
525,DESA00672,CTRA TAHICHE SAN BARTOLOME S/N KM1-TAHICHE,GRANJA EL CABILDO: Recepción,Teguise,35507,LANZAROTE,640517,3.20896e+006,20170908000000,
526,DESA00673,CALLE SANTA BARBARA 21 MAGUEZ,AULA DE LA NATURALEZA: Entrada,Haria,35541,LANZAROTE,646390,3.22716e+006,20170908000000,
527,DESA00674,CALLE LEÓN Y CASTILLO 6,CASA CABILDO CASA DATOS: Recepción,Arrecife,35500,LANZAROTE,641461,3.20429e+006,20170908000000,
528,DESA00675,CALLE JOSE DE BETANCORT 33,C.I.C. EL ALMACEN: Recepción,Arrecife,35500,LANZAROTE,641141,3.20431e+006,20170908000000,
529,DESA00676,CALLE RAFAEL  ALBERTI 50 TAHICHE,ESCUELA DE TURISMO: Recepción,Teguise,35507,LANZAROTE,642216,3.21038e+006,20170908000000,
530,DESA00677,RBLA ISLAS CANARIAS  S/N,INTERCAMBIADOR DE PUERTO DEL CARMEN: Recepción,Tias,35572,LANZAROTE,630150,3.20078e+006,20170908000000,
531,DESA00678,TRANSVERSAL TENDERETE S/N,PARQUE MÓVIL: Entrada,Arrecife,35500,LANZAROTE,640051,3.2064e+006,20170908000000,
532,DESA00679,CALLE YABAGO S/N,SEGURIDAD VIAL: Entrada,Arrecife,35500,LANZAROTE,640415,3.20454e+006,20170908000000,
533,DESA00680,CALLE ARCIPRESTE DE HITA 27 TAHICHE,UNIDAD DE REHABILITACION PSICOSOCIAL: Recepción,Teguise,35507,LANZAROTE,642417,3.20902e+006,20170908000000,
534,DESA00681,CALLE RAFAEL STINGA 2,HACIENDA: Recepción,Arrecife,35500,LANZAROTE,640489,3.20509e+006,20170908000000,
535,DESA00682,CALLE REAL S/N,CENTRO CULTURAL: Planta 2 izquierda hall,Garachico,38459,TENERIFE,328943,3.13894e+006,20170908000000,
536,DESA00683,CTRA GENERAL ICOD GUIA DE ISORA S. J. REPARO S/N,CENTRO SOCIO CULTURAL : Entrando a la izquierda,Garachico,38459,TENERIFE,327749,3.1387e+006,20170908000000,
537,DESA00684,CALLE VIRGEN DE GUIA S/N,CENTRO SOCIAL OBITORIO : Entrando a la derecha,Garachico,38460,TENERIFE,325634,3.13946e+006,20170908000000,
538,DESA00685,CALLE SAN ANDRES S/N,CENTRO CULTURAL LA CALETA : Entrando a la izquierda,Garachico,38460,TENERIFE,324067,3.1401e+006,20170908000000,
539,DESA00686,CTRA GENERAL ICOD-BUENAVISTA S/N,CAMPO DE FUTBOL LA CALETA : Caseta del árbitro,Garachico,38460,TENERIFE,323959,3.13961e+006,20170908000000,
540,DESA00687,AVDA ADOLFO SUAREZ S/N,CAMPO DEL FUTBOL: Caseta del árbitro,Garachico,38450,TENERIFE,327205,3.14e+006,20170908000000,
541,DESA00688,CALLE DIECIOCHO DE JULIO S/N,EDIFICIO POLICÍA LOCAL: Entrando a la derecha,Garachico,38450,TENERIFE,327139,3.13977e+006,20170908000000,
542,DESA00690,AVDA ISLAS CANARIAS 13,HOTEL H10 LANZAROTE GARDENS: Recepción al lado mostrador,Teguise,35508,LANZAROTE,647271,3.20912e+006,20170908000000,
543,DESA00692,CALLE MACIOT (MACIOT) 1,HOTEL H10 LANZAROTE PRINCESS: Recepción,Yaiza,35570,LANZAROTE,614560,3.19366e+006,20170908000000,
544,DESA00693,CALLE ENRAMADA (LA) 9,HOTEL SHERATON LA CALETA: Club niños Guanchito,Adeje,38679,TENERIFE,328076,3.10898e+006,20170908000000,
545,DESA00694,CALLE ENRAMADA (LA) 9,HOTEL SHERATON LA CALETA: Caseta socorristas,Adeje,38679,TENERIFE,328205,3.10903e+006,20170908000000,
546,DESA00695,CALLE ENRAMADA (LA) 9,HOTEL SHERATON LA CALETA: Gimnasio  zona Spa,Adeje,38679,TENERIFE,328190,3.10907e+006,20170908000000,
547,DESA00696,CALLE ENRAMADA (LA) 9,HOTEL SHERATON LA CALETA: Recepción  primer mostrador,Adeje,38679,TENERIFE,328253,3.10906e+006,20170908000000,
548,DESA00697,AVDA ALTAMAR S/N,CENTRO DE CREACIÓN JOVEN: Entrando izquierda puerta sala polivalente.,Guia de Isora,38687,TENERIFE,321415,3.11912e+006,20170908000000,
549,DESA00698,AVDA REPUBLICA DE COLOMBIA 1,CENTRO OCUPACIONAL DE GUÍA: Entrando al frente,Guia de Isora,38687,TENERIFE,321590,3.11877e+006,20170908000000,
550,DESA00699,CALLE AYUNTAMIENTO (DEL) 4,AYUNTAMIENTO DE GUÍA DE ISORA: Entrando a izquierda,Guia de Isora,38680,TENERIFE,325450,3.12167e+006,20170908000000,
551,DESA00700,CALLE CHORROS (LOS) S/N,EDIFICIO POLICÍA LOCAL: Despacho subinspectora,Guia de Isora,38680,TENERIFE,325545,3.12177e+006,20170908000000,
552,DESA00701,CALLE CHORROS (LOS) S/N,EDIFICIO POLICÍA LOCAL: Vehículo policial,Guia de Isora,38680,TENERIFE,325540,3.12174e+006,20170908000000,
553,DESA00702,CALLE CRUZ (LA) S/N,AUDITORIO GUÍA DE ISORA: Cuarto llaves entrando derecha,Guia de Isora,38680,TENERIFE,325319,3.12168e+006,20170908000000,
554,DESA00703,PSAJE GAMON (EL) S/N,CENTRO CULTURAL DE GUÍA DE ISORA: Entrando al fondo,Guia de Isora,38680,TENERIFE,325319,3.1216e+006,20170908000000,
555,DESA00704,CALLE MONDIOLA 14,CENTRO CULTURAL DE ALCALÁ: Entrada 1 aula a la izquierda,Guia de Isora,38686,TENERIFE,320581,3.12105e+006,20170908000000,
556,DESA00705,AVDA ISORA 29 TF-82,CAMPO FUTBOL GUÍA DE ISORA: Cuarto mantenimiento,Guia de Isora,38680,TENERIFE,325655,3.12146e+006,20170908000000,
557,DESA00706,CALLE TF -375 S/N,CAMPO DEL FUTBOL EL MAYATO DE CHIO: Cuarto mantenimiento,Guia de Isora,38680,TENERIFE,323465,3.1257e+006,20170908000000,
558,DESA00707,CALLE APONTE 3,CAMPO FUTBOL ALCALÁ: Cuarto mantenimiento,Guia de Isora,38680,TENERIFE,320544,3.12111e+006,20170908000000,
559,DESA00708,CALLE VIOLETAS DEL TEIDE 12,CAMPO FUTBOL AGUADULCE: Cuarto mantenimiento,Guia de Isora,38687,TENERIFE,323133,3.11834e+006,20170908000000,
560,DESA00709,CMNO DEL CEMENTERIO 5,CONCEJALÍA SERVICIOS MUNICIPALES: Entrada pared derecha,Guia de Isora,38680,TENERIFE,325498,3.12172e+006,20170908000000,
561,DESA00710,CMNO DEL CEMENTERIO 1,CEMENTERIO DE GUÍA DE ISORA: Entrando principal izquierda,Guia de Isora,38680,TENERIFE,325785,3.12151e+006,20170908000000,
562,DESA00711,CALLE ROQUILLO (EL) S/N,CEMENTERIO DE CHIO: Entrada a la derecha,Guia de Isora,38688,TENERIFE,324076,3.12462e+006,20170908000000,
563,DESA00712,CALLE PINTOR HERNANDEZ QUINTANA S/N,COMPLEJO DEPORTIVO EL MAYORAZGO: Atención al usuario en Recepción,Orotava (La),38300,TENERIFE,349997,3.14182e+006,20170908000000,
564,DESA00713,AREA RECREATIVA LAS LAJAS S/N,ÁREA RECREATIVA LAS LAJAS,Vilaflor,38613,TENERIFE,336575,3.11933e+006,20170908000000,
565,DESA00714,CALLE FINCA LOS PEDREGALES S/N,PARQUE RURAL DE TENO: Oficina de gestión,Buenavista del Norte,38480,TENERIFE,318019,3.13652e+006,20170908000000,
566,DESA00715,CTRA GENERAL TF-138,ÁREA RECREATIVA DE CHIO,Guia de Isora,38660,TENERIFE,328714,3.12792e+006,20170908000000,
567,DESA00716,CTRA GENERAL TF-151  1º RUIGOMEZ,ÁREA RECREATIVA SAN JOSÉ DE LOS LLANOS,Tanque (El),38435,TENERIFE,325133,3.13479e+006,20170908000000,
568,DESA00717,CTRA GENERAL LAS CAÑADAS  KM15,CENTRO AMBIENTAL AGUAMANSA,Orotava (La),38310,TENERIFE,353375,3.13808e+006,20170908000000,
569,DESA00718,CTRA GENERAL EL ROSARIO 120,CASA FORESTAL CABILDO LA ESPERANZA,Rosario (El),38290,TENERIFE,365473,3.14668e+006,20170908000000,
570,DESA00720,AVDA ESCALERITAS 178,MASMOTOR CANARIAS: Recepción,Palmas de Gran Canaria (Las),38019,GRAN CANARIA,455986,3.10842e+006,20170908000000,
571,DESA00721,CALLE OLIMPIA S/N,COMPLEJO DEPORTIVO EL SAUZAL: Al lado recepción,Sauzal (El),38360,TENERIFE,359981,3.15116e+006,20170908000000,
572,DESA00722,CALLE CONSTITUCION 3,POLICÍA LOCAL: Dependencias,Sauzal (El),38360,TENERIFE,359390,3.15112e+006,20170908000000,
573,DESA00723,CALLE FRANCISCO CRUZ DIAZ 4,CAMPO DE FUTBOL LAS BREÑAS: Entrada,Sauzal (El),38360,TENERIFE,358882,3.15003e+006,20170908000000,
574,DESA00724,CALLE SAN CRISTOBAL S/N,COMPLEJO DEPORTIVO PAULINO RIVERO BAUTE: Recepción,Sauzal (El),38359,TENERIFE,360521,3.14838e+006,20170908000000,
575,DESA00726,CALLE PECHOS (LOS) 5,APARTAMENTOS NATURAL PARK: Barranco Agua la Perra,Mogan,35130,GRAN CANARIA,430795,3.07361e+006,20170908000000,
576,DESA00727,CALLE MARGARITAS (LAS) S/N,HOTEL GLORIA PALACE SAN AGUSTÍN : Recepción,San Bartolome de Tirajana,35100,GRAN CANARIA,446105,3.07214e+006,20170908000000,
577,DESA00728,CALLE TAMARAN S/N,HOTEL GLORIA PALACE ROYAL : Recepción,Mogan,35120,GRAN CANARIA,428833,3.07442e+006,20170908000000,
578,DESA00729,CALLE LA PALMA 2,HOTEL GLORIA PALACE AMADORES : Recepción,Mogan,35130,GRAN CANARIA,429230,3.07364e+006,20170908000000,
579,DESA00730,CALLE SALINAS 9,HOTEL GLORIA IZARO CLUB HOTEL : Recepción,Tias,35510,LANZAROTE,629424,3.20038e+006,20170908000000,
580,DESA00731,URB GOLF DEL SUR S/N,COMPLEJO GREEN PARK: Recepción,San Miguel,38620,TENERIFE,341534,3.10156e+006,20170908000000,
581,DESA00732,TRASERA SAN BLAS BUNGALOW  7,COMPLEJO SAN SEBASTIAN: Columna patio central,San Miguel,38620,TENERIFE,342697,3.10137e+006,20170908000000,
582,DESA00733,CALLE BATAYOLA S/N,PABELLÓN C.E.I.P. PUNTA LARGA: Pista de juego,Candelaria,38530,TENERIFE,365889,3.13809e+006,20170908000000,
583,DESA00734,RBLA MENCEYES (LOS) S/N,PABELLÓN MUNICIPAL: Pista de juego,Candelaria,38530,TENERIFE,366089,3.13853e+006,20170908000000,
584,DESA00735,LUGAR BALITO 1,PISCINA MONTE ALTA: Entrada,Mogan,35130,GRAN CANARIA,430822,3.07261e+006,20170908000000,
585,DESA00736,LUGAR BALITO 1,PISCINA MONTE BAJA: Entrada,Mogan,35130,GRAN CANARIA,430868,3.07254e+006,20170908000000,
586,DESA00737,AVDA FRANCISCO LA ROCHE 31 8º IZDA,EDIFICIO EL ANCLA: Garaje,Santa Cruz de Tenerife,38001,TENERIFE,377904,3.1502e+006,20170908000000,
587,DESA00738,CALLE VELAZQUEZ 10,S.E.P.E. LAS PALMAS: 1  Planta en gestión económica,Palmas de Gran Canaria (Las),35015,GRAN CANARIA,457722,3.11092e+006,20170908000000,
588,DESA00739,AVDA TRES DE MAYO 7,C.C. EL CORTE INGLÉS: P.SS. Travelato bajada,Santa Cruz de Tenerife,38003,TENERIFE,377245,3.14872e+006,20170908000000,
589,DESA00740,AVDA TRES DE MAYO 7,C.C. EL CORTE INGLÉS: Puerta ámbito cultural P7,Santa Cruz de Tenerife,38003,TENERIFE,377245,3.14872e+006,20170908000000,
590,DESA00741,AVDA RAFAEL PUIG LLUVINIA 16,APTOS. PARQUE LAS AMERICAS: Recepción,Adeje,38660,TENERIFE,329921,3.10632e+006,20170908000000,
591,DESA00742,AVDA JUAN CARLOS I 25,HOTEL TRYP TENERIFE : Hall,Arona,38650,TENERIFE,331726,3.10399e+006,20170908000000,
592,DESA00743,CALLE ALMIRANTE LALLEMAND 32,CLUB DEPORTIVO HERBANIA: Hall de Entrada,Puerto del Rosario,35600,FUERTEVENTURA,612324,3.15318e+006,20170908000000,
593,DESA00744,AVDA MARITIMA 3,MAPFRE ESPAÑA: Vestíbulo,Santa Cruz de Tenerife,38003,TENERIFE,377863,3.14934e+006,20170908000000,
594,DESA00745,CALLE EL MODEM 22 POLIG INDUSTRIAL AJIMAR,POLÍGONO INDUSTRIAL AJIMAR: Caseta vigilante,Telde,35220,GRAN CANARIA,461149,3.1001e+006,20170908000000,
595,DESA00746,CALLE LAS PALMERAS  2,HOTEL H10 OCEAN DREAM : Recepción,Oliva La,35660,FUERTEVENTURA,610116,3.17885e+006,20170908000000,
596,DESA00747,CALLE LAS PALMERAS 1,HOTEL H10 OCEAN SUITES: Recepción,Oliva La,35660,FUERTEVENTURA,610138,3.17881e+006,20170908000000,
597,DESA00748,CALLE JANUBIO 1,HOTEL H10 WHITE SUITES: Recepción,Yaiza,35570,LANZAROTE,614942,3.19361e+006,20170908000000,
598,DESA00749,CTRA GENERAL DE GUARGACHO  FASE 11  LOCAL 8ª,CEMESA: Al lado de la caja al entrar,San Miguel,38620,TENERIFE,339643,3.10261e+006,20170908000000,
599,DESA00751,CTRA TALIARTE A S/N,PLOCAN: Módulo 1  planta baja,Telde,35212,GRAN CANARIA,463763,3.09639e+006,20170908000000,
600,DESA00752,CTRA TALIARTE A S/N,PLOCAN: Plataforma marina,Telde,35212,GRAN CANARIA,463679,3.09637e+006,20170908000000,
601,DESA00753,CALLE MAR CASPIO 5,H10 PLAYA MELONERAS PALACE: Recepción,San Bartolome de Tirajana,35100,GRAN CANARIA,439822,3.06929e+006,20170908000000,
602,DESA00754,CALLE MEDICO AGUSTIN DEL ALAMO S/N,POLICIA LOCAL AGAETE: VEHICULO PATRULLA  Policía local,Agaete,35480,GRAN CANARIA,431099,3.10884e+006,20170908000000,
603,DESA00755,CALLE PUNTA DEL ROQUITO 2,HOTEL PLAYA ESMERALDA: Recepción,Pajara,35627,FUERTEVENTURA,575096,3.11394e+006,20170908000000,
604,DESA00756,AVDA TOUROPERADOR TUI S/N,EDIF. HOLIDAY WORLD: Zonas comunes delante entrada baños,San Bartolome de Tirajana,35100,GRAN CANARIA,441538,3.0709e+006,20170908000000,
605,DESA00757,AVDA TOUROPERADOR TUI S/N,GYM EDIF. HOLIDAY WORLD: Entrada zona musculación,San Bartolome de Tirajana,35100,GRAN CANARIA,441489,3.07083e+006,20170908000000,
606,DESA00758,AVDA MARITIMA 34,EDF. ANTIGUO PARADOR DE TURISMO,Santa Cruz de la Palma,38700,LA PALMA,229972,3.1761e+006,20170908000000,
607,DESA00759,AVDA MARITIMA 3,EDF. CABILDO INSULAR DE LA PALMA,Santa Cruz de la Palma,38700,LA PALMA,229750,3.17583e+006,20170908000000,
608,DESA00760,TRAVESÍA LOS CANCAJOS 36,HOTEL TABURIENTE: Recepción,Breña Baja,38712,LA PALMA,230388,3.17227e+006,20170908000000,
609,DESA00761,AVDA RAFAEL PUIG LLIVINA 13,APARTAMENTOS PUERTO COLON 2 : Recepción,Arona,38660,TENERIFE,329866,3.10522e+006,20170908000000,
610,DESA00762,CALLE PUNTA DEL ROQUITO S/N COSTA CALMA,HOTEL H10 TINDAYA: Recepción,Pajara,35627,FUERTEVENTURA,575518,3.11438e+006,20170908000000,
611,DESA00764,CMNO ALFREDO HERNANDEZ CANINO 133 EL ORTIGAL,SADA P.A. CANARIAS: Tras expositor de tienda,Laguna (La),38330,TENERIFE,367215,3.15144e+006,20170908000000,
612,DESA00765,CALLE TANQUITO (EL) 9,CLÍNICA DENTAL SAN SEBASTIÁN : Gabinete 3   gabinete cirugía,San Sebastian de la Gomera,38800,LA GOMERA,292341,3.10942e+006,20170908000000,
613,DESA00767,CALLE ESTEBAN PEREZ GONZALEZ 15,CLÍNICA DENTAL SAN PEDRO: Planta 1 gabinete 5,Breña Alta,38710,LA PALMA,227567,3.17395e+006,20170908000000,
614,DESA00768,CALLE RODRIGUEZ DE LA OLIVA 1,CLÍNICA DENTAL LA CUESTA: Planta 1 gabinete 4,Laguna (La),38320,TENERIFE,373774,3.14987e+006,20170908000000,
615,DESA00775,CALLE HURIAMEN S/N,APTOS. LAS MARISMAS: Recepción,Oliva La,35660,FUERTEVENTURA,610438,3.17816e+006,20170908000000,
616,DESA00776,CALLE NTRA SRA DEL CAMINO  2,SEDE CENTRAL IMAS: Recepción edificio,Santa Cruz de Tenerife,38010,TENERIFE,374083,3.14853e+006,20170908000000,
617,DESA00777,AVDA MADRID (DE) 2,EDIFICIO SEDE AYUNTAMIENTO PARQUE LA GRANJA: Recepción,Santa Cruz de Tenerife,38007,TENERIFE,376160,3.14911e+006,20170908000000,
618,DESA00778,AVDA LUIS CELSO GARCIA GUADALUPE 5,COMISARÍA POLICÍA LOCAL AÑAZA: Recepción,Santa Cruz de Tenerife,38111,TENERIFE,372389,3.14486e+006,20170908000000,
619,DESA00779,CALLE VIERA Y CLAVIJO 46,PALACIO DE ALCALDIA: Pasillo de oficinas planta 0,Santa Cruz de Tenerife,38004,TENERIFE,377173,3.15223e+006,20170908000000,
620,DESA00780,CALLE VALLE INCLAN 15,CENTRO MUNICIPAL DE ACOGIDA LOS GLADIOLOS: Patio interior,Santa Cruz de Tenerife,38007,TENERIFE,375909,3.1486e+006,20170908000000,
621,DESA00782,CALLE DONIS 8,OFICINA MUNICIPAL DISTRITO SUROESTE EL SOBRADILLO: Fachada edificio,Santa Cruz de Tenerife,38108,TENERIFE,370902,3.14662e+006,20170908000000,
622,DESA00788,CTRA GENERAL DEL NORTE S/N KM 7.200 - CARDONES,GRANJA AGRÍCOLA EXPERIMENTAL: Pared de Recepción,Arucas,35415,GRAN CANARIA,450117,3.11297e+006,20170908000000,
623,DESA00789,CTRA GENERAL DEL NORTE S/N KM 7.200 - CARDONES,GRANJA AGRÍCOLA EXPERIMENTAL: Barracón,Arucas,35415,GRAN CANARIA,450135,3.113e+006,20170908000000,
624,DESA00790,CALLE AYAGAURES S/N,C.F. LAS TORRES: Cuarto auxiliar,Palmas de Gran Canaria (Las),35010,GRAN CANARIA,455327,3.10988e+006,20170908000000,
625,DESA00791,CALLE SEVERO OCHOA 36,C.F. EL BATÁN: Cuarto Auxiliar,Palmas de Gran Canaria (Las),35015,GRAN CANARIA,457532,3.10731e+006,20170908000000,
626,DESA00792,CALLE PINTOR ANTONIO PADRON S/N,C.F. LAS MESAS: Cuarto auxiliar,Palmas de Gran Canaria (Las),35018,GRAN CANARIA,451231,3.10849e+006,20170908000000,
627,DESA00793,CALLE MAR MEDITERRANEO 2,C.F. COSTA AYALA: Cuarto auxiliar,Palmas de Gran Canaria (Las),35010,GRAN CANARIA,452717,3.11228e+006,20170908000000,
628,DESA00794,CALLE PABLO RADA S/N,C.F. EL PILAR: Cuarto auxiliar,Palmas de Gran Canaria (Las),35012,GRAN CANARIA,456320,3.10997e+006,20170908000000,
629,DESA00795,PASEO SAN JOSE 138,C.F CHANO CRUZ: Cuarto auxiliar,Palmas de Gran Canaria (Las),35015,GRAN CANARIA,458882,3.1074e+006,20170908000000,
630,DESA00796,CALLE ORTIZ DE ZARATE S/N,C. LUCHA LA GALLERA: Oficina C.L. Guanarteme,Palmas de Gran Canaria (Las),35011,GRAN CANARIA,457303,3.11023e+006,20170908000000,
631,DESA00797,CALLE ORTIZ DE ZARATE 10,C.F. LÓPEZ SOCAS: Cuarto cuadro eléctrico,Palmas de Gran Canaria (Las),35011,GRAN CANARIA,457346,3.11032e+006,20170908000000,
632,DESA00798,CALLE CORONEL ROCHA 5,POLIDEPORTIVO JESÚS TELO: Cuarto auxiliar,Palmas de Gran Canaria (Las),35009,GRAN CANARIA,457628,3.11454e+006,20170908000000,
633,DESA00799,CALLE MALAGA S/N,C.F. VEGA SAN JOSÉ: Oficina,Palmas de Gran Canaria (Las),35016,GRAN CANARIA,458884,3.1074e+006,20170908000000,
634,DESA00800,CALLE 35012 S/N,C.F. ALFONSO SILVA: Cuarto auxiliar,Palmas de Gran Canaria (Las),35012,GRAN CANARIA,456513,3.10924e+006,20170908000000,
635,DESA00801,CALLE SEVERO OCHOA S/N,POLIDEPORTIVO EL BATÁN: Recepción,Palmas de Gran Canaria (Las),35015,GRAN CANARIA,457677,3.10749e+006,20170908000000,
636,DESA00802,CALLE PEDRO HIDALGO S/N,C.F. JOSÉ V. SEPÚLVEDA: Cuarto auxiliar,Palmas de Gran Canaria (Las),35016,GRAN CANARIA,458202,3.10487e+006,20170908000000,
637,DESA00803,AVDA RAMBLAS DE JINAMAR S/N,C.F. MUNDIAL 82: Cuarto auxiliar,Palmas de Gran Canaria (Las),35560,GRAN CANARIA,459514,3.1008e+006,20170908000000,
638,DESA00804,CALLE GUANABEN 13,POLIDEPORTIVO PORTO PÍ: Cuarto auxiliar,Palmas de Gran Canaria (Las),35009,GRAN CANARIA,458631,3.11422e+006,20170908000000,
639,DESA00805,CALLE PEDRO HIDALGO S/N,C.D. CONO SUR : Recepción,Palmas de Gran Canaria (Las),35016,GRAN CANARIA,458696,3.10533e+006,20170908000000,
640,DESA00806,CALLE TINGUARO 20,POLIDEPORTIVO JARDÍN DE INFANCIA: Pasillo del Botiquín,Palmas de Gran Canaria (Las),35009,GRAN CANARIA,457874,3.11423e+006,20170908000000,
641,DESA00807,CALLE LUIS BENITEZ INGLOTT S/N,C.F. PEPE GONCÁLVEZ: Pasillo Botiquín,Palmas de Gran Canaria (Las),35011,GRAN CANARIA,456925,3.11036e+006,20170908000000,
642,DESA00808,CALLE JOAQUIN BELON S/N,POLIDEPORTIVO JUAN BELTRÁN: Pared dentro de pista deportiva,Palmas de Gran Canaria (Las),35018,GRAN CANARIA,457213,3.10876e+006,20170908000000,
643,DESA00809,CALLE ALFEREZ PROVISIONAL 1,C.F. PARQUE ATLÁNTICO: Enfermería,Palmas de Gran Canaria (Las),35012,GRAN CANARIA,456198,3.10974e+006,20170908000000,
644,DESA00810,CALLE RAFAELA DE LAS CASAS GONZALEZ S/N,C.F. CASABLANCA 3: Cuarto auxiliar,Palmas de Gran Canaria (Las),35014,GRAN CANARIA,456752,3.10781e+006,20170908000000,
645,DESA00811,CALLE PEDRO HIDALGO 35,C.F. HOYA DE LA PLATA: Cuarto auxiliar,Palmas de Gran Canaria (Las),35016,GRAN CANARIA,458641,3.10512e+006,20170908000000,
646,DESA00812,LUGAR LOMO DEL RINCON S/N,C.F . MANUEL NARANJO: Cuarto auxiliar,Palmas de Gran Canaria (Las),35010,GRAN CANARIA,455723,3.11149e+006,20170908000000,
647,DESA00813,CALLE ANA MARIA MARGENAT 30,C.F. LOMO BLANCO: Pasillo vestuarios,Palmas de Gran Canaria (Las),35015,GRAN CANARIA,456297,3.1068e+006,20170908000000,
648,DESA00814,PLAYA DE LAS ALACAVANERAS S/N,PISTA DR. JOSÉ ALSO: Cuarto auxiliar,Palmas de Gran Canaria (Las),35006,GRAN CANARIA,457876,3.11197e+006,20170908000000,
649,DESA00815,CTRA MARZAGAN DE S/N,C.F. MARZAGÁN: Cuarto auxiliar,Palmas de Gran Canaria (Las),35017,GRAN CANARIA,458285,3.10201e+006,20170908000000,
650,DESA00816,CALLE DOCTOR JIMENEZ NEYRA 41,POLIDEPORTIVO CARLOS GARCÍA: Pared entrada vestuario 4,Palmas de Gran Canaria (Las),35012,GRAN CANARIA,457861,3.10947e+006,20170908000000,
651,DESA00817,CALLE JUAN RODRIGUEZ QUEGLES 26,POLIDEPORTIVO FELIZ SANTANA: Al lado ascensor,Palmas de Gran Canaria (Las),35011,GRAN CANARIA,457080,3.10996e+006,20170908000000,
652,DESA00818,CALLE SAN GABRIEL 11,POLIDEPORTIVO LEONCIO CASTELLANO: Dentro pabellón pared izq,Palmas de Gran Canaria (Las),35018,GRAN CANARIA,453072,3.10849e+006,20170908000000,
653,DESA00819,CALLE CARLOS MAURICIO BLANDY 51,GIMNASIO MUNICIPAL: Pared pista deportiva,Palmas de Gran Canaria (Las),35011,GRAN CANARIA,457311,3.10996e+006,20170908000000,
654,DESA00820,AVDA SEMANA DE LA PASION 13,C.F. JORGE PULIDO: Entrada vestuarios,Palmas de Gran Canaria (Las),35009,GRAN CANARIA,457212,3.11566e+006,20170908000000,
655,DESA00821,PARQUE LA MAYORDOMIA S/N,C.F. MAYORDOMÍA 1: Botiquín,Palmas de Gran Canaria (Las),35006,GRAN CANARIA,454084,3.10843e+006,20170908000000,
